"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"Libya","BWH",74.97,23.87,"9 Not Free",6777453,69252306372,0.722,7826.8050398455
"Libya","BWH",74.97,23.87,"9 Not Free",6777453,69252306372,0.722,183158.656852956
"Liechtenstein","CFB",47.52,8.62,"90 Free",38020,6427248943,0.94,NA
"Lithuania","DFB",47.79,8.77,"89 Free",2794137,54697379017,0.884,14637.8129167212
"Lithuania","DFB",47.79,8.77,"89 Free",2794137,54697379017,0.884,206731.981265487
"Luxembourg","CFB",50.11,10.06,"97 Free",620001,70195715496,0.927,616.554194387602
"Luxembourg","CFB",50.11,10.06,"97 Free",620001,70195715496,0.927,8919.56359941975
"Madagascar","CWB",74.98,23.88,"61 Partly Free",26969306,14191911512,0.51,10713.9867791038
"Madagascar","CWB",74.98,23.88,"61 Partly Free",26969306,14191911512,0.51,285614.782015196
"Malawi","AW",73.44,23.02,"66 Partly Free",18628749,11025370769,0.519,5470.68632999346
"Malawi","AW",73.44,23.02,"66 Partly Free",18628749,11025370769,0.519,136834.955896882
"Malaysia","AF",82.9,28.28,"50 Partly Free",31949789,3.65276e+11,0.81,34010.4697730214
"Malaysia","AF",82.9,28.28,"50 Partly Free",31949789,3.65276e+11,0.81,785350.107972279
"Maldives","AM",82.78,28.21,"40 Partly Free",530957,5607762625,0.755,307.842662178998
"Maldives","AM",82.78,28.21,"40 Partly Free",530957,5607762625,0.755,6608.85829350026
"Mali","BWH",89.19,31.77,"32 Not Free",19658023,17280250805,0.433,7595.85243229571
"Mali","BWH",89.19,31.77,"32 Not Free",19658023,17280250805,0.433,160417.544612312
"Malta","CSA",67.89,19.94,"89 Free",504062,15719500921,0.915,919.969527739233
"Malta","CSA",67.89,19.94,"89 Free",504062,15719500921,0.915,13594.2915649095
"Marshall Islands","AF",82.69,28.16,"93 Free",58791,239462200,0.64,80.3200631255895
"Marshall Islands","AF",82.69,28.16,"93 Free",58791,239462200,0.64,2461.91994740562
"Mauritania","BWH",85.57,29.76,"35 Partly Free",4525698,7889655284,0.563,1826.64171524278
"Mauritania","BWH",85.57,29.76,"35 Partly Free",4525698,7889655284,0.563,36402.4602872977
"Mauritius","AM",77.16,25.09,"86 Free",1265711,14045808843,0.817,1663.4360313309
"Mauritius","AM",77.16,25.09,"86 Free",1265711,14045808843,0.817,34430.7204105603
"Mexico","BSK",71.65,22.03,"60 Partly Free",127575529,1.2694e+12,0.779,106311.060671666
"Mexico","BSK",71.65,22.03,"60 Partly Free",127575529,1.2694e+12,0.779,2021859.58831363
"Moldova","DFB",54.66,12.59,"62 Partly Free",2664974,11971345003,NA,NA
"Monaco","CSB",60.87,16.04,"84 Free",38967,7383745662,NA,79.6854965440844
