"Country","Climate_Zone","Avg_Temp_F","Avg_Temp_C","Freedom_Score","Freedom_Status","Political_Rights","Civil_Liberties","Population","GDP","HDI","Heart_Disease_Deaths","Healthcare_Spending"
"Rwanda","CFB",68.79,20.44,"22","Not Free",8,14,12626938,10356327149,0.534,3769.83408890048,51.39912415
"Samoa","AW",81.77,27.65,"83","Free",32,51,197093,852007104.7,0.715,285.969292789694,271.9157715
"San Marino","CFB",61.99,16.66,"93","Free",38,55,33864,1616231696,0.862,37.0354765927075,3050.918213
"Saudi Arabia","BWH",80.62,27.01,"7","Not Free",1,6,34268529,8.03616e+11,0.873,29689.0647009097,1316.260254
"Senegal","BSH",86.58,30.32,"68","Partly Free",29,39,16296362,23398811424,0.513,7130.94448008895,59.09758377
"Serbia","CFB",55.85,13.25,"62","Partly Free",21,41,6945235,51514222382,0.811,28365.381439218,641.0250244
"Seychelles","AF",81.66,27.59,"79","Free",34,45,97625,1684228529,0.802,107.67089336987,839.7733154
"Sierra Leone","AM",81.7,27.61,"65","Partly Free",28,37,7813207,4076578543,0.48,3920.25439215182,46.15795517
"Singapore","AF",77.18,25.1,"47","Partly Free",19,28,5703569,3.75473e+11,0.943,3833.27702859957,2632.713867
"Slovenia","CFB",53.24,11.8,"90","Free",38,52,2088385,54178877606,0.921,2979.77341428849,2219.100586
"Solomon Islands","AF",81.97,27.76,"79","Free",30,49,669821,1570093229,0.567,1242.68941569071,111.9044876
"South Africa","BWK",70.2,21.22,"79","Free",33,46,58558267,3.87935e+11,0.736,30470.1166215028,546.6884155
"South Sudan","AW",85.1,29.5,"1","Not Free",-3,4,11062114,NA,0.393,2491.35536237765,22.63818741
"Spain","CSA",61.9,16.61,"90","Free",37,53,47134837,1.39305e+12,0.908,53632.0189290294,2711.192871
"Sri Lanka","AF",81.43,27.46,"55","Partly Free",23,32,21803000,83902574443,0.778,23968.7395737432,160.6969605
"Sudan","BSH",86.07,30.04,"10","Not Free",0,10,42813237,32338079165,0.514,43187.3558725335,46.92884064
"Suriname","AF",81.52,27.51,"79","Free",34,45,581363,3984483762,0.755,607.54862065086,619.2471314
"Sweden","DFB",45.05,7.25,"100","Free",40,60,10278887,5.3388e+11,0.947,18974.6086098554,5671.385742
"Switzerland","DFC",48.38,9.1,"96","Free",39,57,8575280,7.31767e+11,0.962,12371.2844656957,9666.337891
"Tajikistan","DSC",46.15,7.86,"8","Not Free",0,8,9321023,8300784857,0.676,13512.9213903813,61.87225342
"Thailand","AW",83.55,28.64,"29","Not Free",5,24,69625581,5.44081e+11,0.804,51595.4662767894,296.1651001
"Timor-Leste","AW",79.83,26.57,"72","Free",33,39,1293120,2047931700,0.614,1020.84503468645,92.67004395
"Togo","CFA",78.94,26.08,"42","Partly Free",15,27,8082359,7220395248,0.535,3709.21334624204,51.1550293
"Tonga","AF",78.31,25.73,"79","Free",30,49,104497,512350059.4,0.744,100.327739708369,242.3727722
"Trinidad and Tobago","AM",81.9,27.72,"82","Free",33,49,1394969,23886216403,0.821,2143.2911928494,1167.933105
"Tunisia","BWH",69.96,21.09,"64","Partly Free",26,38,11694721,41772900763,0.745,21457.0292140251,233.0593109
"Turkmenistan","BSK",67.26,19.59,"2","Not Free",0,2,5942094,45231428571,0.742,11305.2853445994,500.0064392
"Tuvalu","AF",83.7,28.72,"93","Free",37,56,11655,54223149.11,0.635,22.6689603563048,972.6124268
"Uganda","AM",74.25,23.47,"34","Not Free",11,23,44269587,35353060634,0.525,9590.2834363053,32.40844345
"Ukraine","DFB",52.48,11.38,"61","Partly Free",26,35,44386203,1.53883e+11,0.786,325873.548826548,248.1334839
"United Arab Emirates","BWH",85.6,29.78,"17","Not Free",5,12,9770526,4.17216e+11,0.92,4880.12613193153,1842.694458
"United Kingdom","CFB",51.35,10.75,"93","Free",39,54,66836327,2.87867e+12,0.935,93397.7746565299,4312.88916
"United States","CFA",54.75,12.64,"83","Free",32,51,328329953,2.13726e+13,0.93,557648.788045072,10921.0127
"Uruguay","CFA",65.52,18.62,"97","Free",40,57,3461731,61231149881,0.821,4090.92464772961,1660.952881
"Uzbekistan","BWK",63.81,17.67,"11","Not Free",2,9,33580350,59907674027,0.726,75500.6478098785,98.57316589
"Vanuatu","AF",79.3,26.28,"82","Free",33,49,299882,936526267.6,0.611,460.135763057826,104.2496109
"Zambia","CWA",73.99,23.33,"51","Partly Free",21,30,17861034,23308667781,0.575,4833.05118376733,69.32437897
"Zimbabwe","BSH",72.91,22.73,"28","Not Free",11,17,14645473,19284289739,0.601,8779.01891743234,103.0282722
